Category,Function,File,Line,Code
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/services/resources/admin/ClientAttributeCertificateResource.java,410,"KeystoreFormat format = Enum.valueOf(KeystoreFormat.class, config.getFormat().toUpperCase());"
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/theme/ClasspathThemeProviderFactory.java,115,Theme.Type type = Theme.Type.valueOf(t.toUpperCase());
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/theme/DefaultThemeManager.java,153,"Theme importedTheme = findTheme(s[1], Theme.Type.valueOf(s[0].toUpperCase()));"
Configuration/Enum Parsing,toUpperCase(),services/src/main/java/org/keycloak/vault/AbstractVaultProviderFactory.java,124,AvailableResolvers value = AvailableResolvers.valueOf(resolverName.trim().toUpperCase());
Constant/Key Generation,toUpperCase(),services/src/main/java/org/keycloak/authentication/authenticators/client/X509ClientAuthenticator.java,46,"CUSTOM_OIDS.put(""2.5.4.5"", ""serialNumber"".toUpperCase());"
Constant/Key Generation,toUpperCase(),services/src/main/java/org/keycloak/authentication/authenticators/client/X509ClientAuthenticator.java,47,"CUSTOM_OIDS.put(""2.5.4.15"", ""businessCategory"".toUpperCase());"
Constant/Key Generation,toUpperCase(),services/src/main/java/org/keycloak/authentication/authenticators/client/X509ClientAuthenticator.java,48,"CUSTOM_OIDS.put(""1.3.6.1.4.1.311.60.2.1.3"", ""jurisdictionCountryName"".toUpperCase());"
Constant/Key Generation,toUpperCase(),services/src/main/java/org/keycloak/authentication/authenticators/client/X509ClientAuthenticator.java,49,"CUSTOM_OIDS.put(""1.2.840.113549.1.9.1"", ""emailAddress"".toUpperCase());"
Database Name/Domain Normalization,toLowerCase(),federation/kerberos/src/main/java/org/keycloak/federation/kerberos/KerberosFederationProvider.java,282,"String email = kerberosPrincipal.getPrefix() + ""@"" + kerberosPrincipal.getRealm().toLowerCase();"
Database Name/Domain Normalization,toLowerCase(),js/libs/keycloak-admin-client/test/authenticationManagement.spec.ts,19,const realmName = faker.internet.username().toLowerCase();
Database Name/Domain Normalization,toLowerCase(),js/libs/keycloak-admin-client/test/realms.spec.ts,13,const realmId = faker.internet.username().toLowerCase();
Database Name/Domain Normalization,toLowerCase(),js/libs/keycloak-admin-client/test/realms.spec.ts,14,const realmName = faker.internet.username().toLowerCase();
Database Name/Domain Normalization,toLowerCase(),js/libs/keycloak-admin-client/test/realms.spec.ts,51,const realmId = faker.internet.username().toLowerCase();
Database Name/Domain Normalization,toLowerCase(),js/libs/keycloak-admin-client/test/realms.spec.ts,52,const realmName = faker.internet.username().toLowerCase();
Database Name/Domain Normalization,toLowerCase(),model/jpa/src/main/java/org/keycloak/connections/jpa/updater/liquibase/custom/JpaUpdate13_0_0_MigrateDefaultRoles.java,99,"String roleName = Constants.DEFAULT_ROLES_ROLE_PREFIX + ""-"" + realmName.toLowerCase();"
Database Name/Domain Normalization,toLowerCase(),model/jpa/src/main/java/org/keycloak/connections/jpa/updater/liquibase/custom/JpaUpdate13_0_0_MigrateDefaultRoles.java,104,"roleName = Constants.DEFAULT_ROLES_ROLE_PREFIX + ""-"" + realmName.toLowerCase() + ""-"" + i;"
Database Name/Domain Normalization,toLowerCase(),model/jpa/src/main/java/org/keycloak/organization/jpa/JpaOrganizationProvider.java,228,"query.setParameter(""name"", domain.toLowerCase());"
Database Name/Domain Normalization,toLowerCase(),server-spi-private/src/main/java/org/keycloak/models/utils/ModelToRepresentation.java,469,rep.setSslRequired(realm.getSslRequired().name().toLowerCase());
Database Name/Domain Normalization,toLowerCase(),server-spi/src/main/java/org/keycloak/models/RealmProvider.java,74,return getRealmsStream().filter(realm -> search.isEmpty() || realm.getName().toLowerCase().contains(search.trim().toLowerCase()));
Database Name/Domain Normalization,toLowerCase(),services/src/main/java/org/keycloak/protocol/oidc/installation/KeycloakOIDCClientInstallation.java,58,rep.setSslRequired(realm.getSslRequired().name().toLowerCase());
Database Name/Domain Normalization,toLowerCase(),services/src/main/java/org/keycloak/services/managers/ClientManager.java,313,rep.setSslRequired(realmModel.getSslRequired().name().toLowerCase());
Database Name/Domain Normalization,toLowerCase(),services/src/main/java/org/keycloak/services/managers/RealmManager.java,134,"KeycloakModelUtils.setupDefaultRole(realm, Constants.DEFAULT_ROLES_ROLE_PREFIX + ""-"" + name.toLowerCase());"
Database Name/Domain Normalization,toLowerCase(),services/src/main/java/org/keycloak/services/managers/RealmManager.java,697,"String defaultRoleName = Constants.DEFAULT_ROLES_ROLE_PREFIX + ""-"" + rep.getRealm().toLowerCase();"
Database Name/Domain Normalization,toLowerCase(),services/src/main/java/org/keycloak/services/managers/RealmManager.java,702,"defaultRoleName = Constants.DEFAULT_ROLES_ROLE_PREFIX + ""-"" + rep.getRealm().toLowerCase() + ""-"" + i;"
Database Name/Domain Normalization,toLowerCase(),services/src/main/java/org/keycloak/services/managers/RealmManager.java,857,"KeycloakModelUtils.setupDefaultRole(realm, Constants.DEFAULT_ROLES_ROLE_PREFIX + ""-"" + realm.getName().toLowerCase());"
Database Name/Domain Normalization,toLowerCase(),tests/base/src/test/java/org/keycloak/tests/admin/realm/RealmDefaultConfigTest.java,130,"managedRealm.admin().roles().get(Constants.DEFAULT_ROLES_ROLE_PREFIX + ""-"" + managedRealm.getName().toLowerCase()).addComposites(Collections.singletonList(role));"
Database Name/Domain Normalization,toLowerCase(),tests/base/src/test/java/org/keycloak/tests/admin/realm/RealmDefaultConfigTest.java,132,"AdminEventAssertion.assertEvent(adminEvents.poll(), OperationType.CREATE, AdminEventPaths.roleResourceCompositesPath(Constants.DEFAULT_ROLES_ROLE_PREFIX + ""-"" + managedRealm.getName().toLowerCase()), "
Database Name/Domain Normalization,toLowerCase(),testsuite/integration-arquillian/servers/auth-server/services/testsuite-providers/src/main/java/org/keycloak/testsuite/federation/HardcodedRoleStorageProvider.java,70,if (search != null && this.roleName.toLowerCase().contains(search.toLowerCase())) {
Database Name/Domain Normalization,toLowerCase(),testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/broker/KcOidcFirstBrokerLoginTest.java,889,"UserRepresentation userRepresentation = AccountHelper.getUserRepresentation(realm, expectedBrokeredUserName.toLowerCase());"
Database Name/Domain Normalization,toLowerCase(),testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/broker/KcOidcFirstBrokerLoginTest.java,915,"UserRepresentation userRepresentation = AccountHelper.getUserRepresentation(realm, expectedBrokeredUserName.toLowerCase());"
Database Name/Domain Normalization,toLowerCase(),testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/federation/kerberos/KerberosStandaloneTest.java,111,"assertUser(""hnelson"", ""hnelson@"" + kerberosRule.getConfig().get(KerberosConstants.KERBEROS_REALM).toLowerCase(), null, null,"
Database Name/Domain Normalization,toLowerCase(),testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/federation/kerberos/KerberosStandaloneTest.java,131,"Assert.assertTrue(responseText.contains(""hnelson@"" + kerberosRule.getConfig().get(KerberosConstants.KERBEROS_REALM).toLowerCase()));"
Database Name/Domain Normalization,toLowerCase(),testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/federation/kerberos/KerberosStandaloneTest.java,135,"assertUser(""hnelson"", ""hnelson@"" + kerberosRule.getConfig().get(KerberosConstants.KERBEROS_REALM).toLowerCase(), null, null,"
Database Name/Domain Normalization,toLowerCase(),testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/federation/ldap/LDAPUserProfileTest.java,355,"johnResource = ApiUtil.findUserByUsernameId(testRealm(), upperCaseUsername.toLowerCase());"
Database Name/Domain Normalization,toLowerCase(),testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/federation/ldap/LDAPUserProfileTest.java,392,"johnResource = ApiUtil.findUserByUsernameId(testRealm(), upperCaseUsername.toLowerCase());"
Database Name/Domain Normalization,toLowerCase(),testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/migration/AbstractMigrationTest.java,812,"assertThat(""role should be added to default roles for new users"", realm.roles().get(Constants.DEFAULT_ROLES_ROLE_PREFIX + ""-"" + realm.toRepresentation().getRealm().toLowerCase()).getRoleComposites().s"
Database Name/Domain Normalization,toLowerCase(),testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/migration/AbstractMigrationTest.java,1220,String realmName = realm.toRepresentation().getRealm().toLowerCase();
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/authorization/jpa/store/JPAPolicyStore.java,190,"predicates.add(builder.like(builder.lower(root.get(filterOption.getName())), ""%"" + value[0].toLowerCase() + ""%""));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/authorization/jpa/store/JPAPolicyStore.java,190,"predicates.add(builder.like(builder.lower(root.get(filterOption.getName())), ""%"" + value[0].toLowerCase() + ""%""));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/authorization/jpa/store/JPAResourceStore.java,179,"predicates.add(builder.lower(root.join(""uris"")).in(value[0].toLowerCase()));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/authorization/jpa/store/JPAResourceStore.java,179,"predicates.add(builder.lower(root.join(""uris"")).in(value[0].toLowerCase()));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/authorization/jpa/store/JPAResourceStore.java,189,"predicates.add(builder.like(builder.lower(root.get(filterOption.getName())), ""%"" + value[0].toLowerCase() + ""%""));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/authorization/jpa/store/JPAResourceStore.java,189,"predicates.add(builder.like(builder.lower(root.get(filterOption.getName())), ""%"" + value[0].toLowerCase() + ""%""));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/authorization/jpa/store/JPAResourceStore.java,192,"predicates.add(builder.equal(builder.lower(root.get(filterOption.getName())), value[0].toLowerCase()));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/authorization/jpa/store/JPAResourceStore.java,192,"predicates.add(builder.equal(builder.lower(root.get(filterOption.getName())), value[0].toLowerCase()));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/authorization/jpa/store/JPAScopeStore.java,148,"predicates.add(builder.like(builder.lower(root.get(filterOption.getName())), ""%"" + value[0].toLowerCase() + ""%""));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/authorization/jpa/store/JPAScopeStore.java,148,"predicates.add(builder.like(builder.lower(root.get(filterOption.getName())), ""%"" + value[0].toLowerCase() + ""%""));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/GroupAdapter.java,176,"predicates.add(builder.like(builder.lower(root.get(""name"")), builder.lower(builder.literal(""%"" + search + ""%""))));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaIdentityProviderStorageProvider.java,559,"return builder.or(builder.like(builder.lower(idp.get(ALIAS)), search.toLowerCase(), '\\'),builder.like(builder.lower(idp.get(DISPLAY_NAME)), search.toLowerCase(), '\\'));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaIdentityProviderStorageProvider.java,559,"return builder.or(builder.like(builder.lower(idp.get(ALIAS)), search.toLowerCase(), '\\'),builder.like(builder.lower(idp.get(DISPLAY_NAME)), search.toLowerCase(), '\\'));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaRealmProvider.java,619,"predicates.add(builder.like(builder.lower(root.get(""name"")), builder.lower(builder.literal(""%"" + search + ""%""))));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaRealmProvider.java,682,"predicates.add(builder.like(builder.lower(root.get(""name"")), builder.lower(builder.literal(""%"" + search + ""%""))));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaRealmProvider.java,771,"predicates.add(builder.like(builder.lower(root.get(""name"")), builder.lower(builder.literal(""%"" + search + ""%""))));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaRealmProvider.java,994,"predicates.add(builder.like(builder.lower(root.get(""clientId"")), builder.lower(builder.literal(""%"" + clientId + ""%""))));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaRealmProvider.java,1399,"predicates.add(builder.like(builder.lower(root.get(""name"")), builder.lower(builder.literal(""%"" + search + ""%""))));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,762,"builder.like(builder.lower(userPath.get(""username"")), builder.lower(builder.literal(""%"" + search + ""%""))),"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,763,"builder.like(builder.lower(userPath.get(""email"")), builder.lower(builder.literal(""%"" + search + ""%""))),"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,764,"builder.like(builder.lower(userPath.get(""firstName"")), builder.lower(builder.literal(""%"" + search + ""%""))),"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,765,"builder.like(builder.lower(userPath.get(""lastName"")), builder.lower(builder.literal(""%"" + search + ""%"")))"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1003,"orPredicates.add(builder.equal(builder.lower(from.get(FIRST_NAME)), value));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1004,"orPredicates.add(builder.equal(builder.lower(from.get(LAST_NAME)), value));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1012,"orPredicates.add(builder.like(builder.lower(from.get(FIRST_NAME)), value, ESCAPE_BACKSLASH));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1013,"orPredicates.add(builder.like(builder.lower(from.get(LAST_NAME)), value, ESCAPE_BACKSLASH));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1049,"predicates.add(builder.equal(builder.lower(root.get(key)), value.toLowerCase()));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1049,"predicates.add(builder.equal(builder.lower(root.get(key)), value.toLowerCase()));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1051,"predicates.add(builder.like(builder.lower(root.get(key)), ""%"" + value.toLowerCase() + ""%""));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1051,"predicates.add(builder.like(builder.lower(root.get(key)), ""%"" + value.toLowerCase() + ""%""));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1057,"predicates.add(builder.equal(root.get(key), value.toLowerCase()));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1059,"predicates.add(builder.like(root.get(key), ""%"" + value.toLowerCase() + ""%""));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1063,"predicates.add(builder.equal(root.get(key), Boolean.valueOf(value.toLowerCase())));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1094,"builder.equal(builder.lower(attributesJoin.get(""value"")), value.toLowerCase())));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1094,"builder.equal(builder.lower(attributesJoin.get(""value"")), value.toLowerCase())));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1098,"builder.like(builder.lower(attributesJoin.get(""value"")), ""%"" + value.toLowerCase() + ""%"")));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/models/jpa/JpaUserProvider.java,1098,"builder.like(builder.lower(attributesJoin.get(""value"")), ""%"" + value.toLowerCase() + ""%"")));"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/organization/jpa/JpaOrganizationProvider.java,325,"namePredicate = builder.like(builder.lower(org.get(""name"")), ""%"" + search.toLowerCase() + ""%"");"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/organization/jpa/JpaOrganizationProvider.java,325,"namePredicate = builder.like(builder.lower(org.get(""name"")), ""%"" + search.toLowerCase() + ""%"");"
Database Query (Case-Insensitive Search),toLowerCase(),model/jpa/src/main/java/org/keycloak/organization/jpa/JpaOrganizationProvider.java,326,"domainPredicate = builder.like(domain.get(""name""), ""%"" + search.toLowerCase() + ""%"");"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/organization/jpa/JpaOrganizationProvider.java,419,"orPredicates.add(builder.equal(builder.lower(from.get(FIRST_NAME)), value));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/organization/jpa/JpaOrganizationProvider.java,420,"orPredicates.add(builder.equal(builder.lower(from.get(LAST_NAME)), value));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/organization/jpa/JpaOrganizationProvider.java,425,"orPredicates.add(builder.like(builder.lower(from.get(FIRST_NAME)), value));"
Database Query (Case-Insensitive Search),builder.lower(),model/jpa/src/main/java/org/keycloak/organization/jpa/JpaOrganizationProvider.java,426,"orPredicates.add(builder.like(builder.lower(from.get(LAST_NAME)), value));"
File/OS Detection,toLowerCase(),integration/client-cli/admin-cli/src/main/java/org/keycloak/client/cli/util/OsUtil.java,32,"String os = System.getProperty(""os.name"").toLowerCase();"
File/OS Detection,toLowerCase(),testsuite/integration-arquillian/tests/base/src/main/java/org/keycloak/testsuite/cli/OsUtils.java,25,"String os = System.getProperty(""os.name"").toLowerCase();"
File/OS Detection,toLowerCase(),testsuite/integration-arquillian/tests/base/src/test/java/org/keycloak/testsuite/util/NonIDERunListener.java,43,"String loggingLevel = System.getProperty(KEYCLOAK_LOGGING_LEVEL_NAME, """").toLowerCase();"
HTTP Headers,toLowerCase(),authz/client/src/main/java/org/keycloak/authorization/client/util/HttpMethodAuthenticator.java,74,"if (!(authorizationHeader != null && authorizationHeader.getValue().toLowerCase().startsWith(""bearer""))) {"
HTTP Headers,toLowerCase(),integration/client-cli/admin-cli/src/main/java/org/keycloak/client/cli/util/Headers.java,33,"headers.put(header.toLowerCase(), new Header(header, value));"
HTTP Headers,toLowerCase(),integration/client-cli/admin-cli/src/main/java/org/keycloak/client/cli/util/Headers.java,37,String key = header.toLowerCase();
HTTP Headers,toLowerCase(),integration/client-cli/admin-cli/src/main/java/org/keycloak/client/cli/util/Headers.java,46,String key = header.toLowerCase();
HTTP Headers,toLowerCase(),integration/client-cli/admin-cli/src/main/java/org/keycloak/client/cli/util/Headers.java,51,return headers.get(header.toLowerCase());
HTTP Headers,toLowerCase(),services/src/main/java/org/keycloak/protocol/oidc/grants/PermissionGrantType.java,59,"if (authorizationHeader != null && authorizationHeader.toLowerCase().startsWith(""bearer"")) {"
Kerberos/LDAP,toUpperCase(),federation/kerberos/src/main/java/org/keycloak/federation/kerberos/KerberosPrincipal.java,37,this.realm = parts[1].toUpperCase();
Kerberos/LDAP,toLowerCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/LDAPUtils.java,415,"userModelProperties.put(entry.getKey().toLowerCase(), entry.getValue());"
Kerberos/LDAP,toLowerCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/model/LDAPObject.java,74,name = name.toLowerCase();
Kerberos/LDAP,toLowerCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/model/LDAPObject.java,123,readOnlyAttributeNames.add(readOnlyAttribute.toLowerCase());
Kerberos/LDAP,toLowerCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/model/LDAPObject.java,127,readOnlyAttributeNames.remove(readOnlyAttribute.toLowerCase());
Kerberos/LDAP,toLowerCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/model/LDAPObject.java,161,final String attributeNameLowerCase = attributeName.toLowerCase();
Kerberos/LDAP,toLowerCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/model/LDAPObject.java,184,"Map.Entry<String, Set<String>> entry = lowerCasedAttributes.get(name.toLowerCase());"
Kerberos/LDAP,toLowerCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/model/LDAPObject.java,200,"Map.Entry<String, Set<String>> entry = lowerCasedAttributes.get(name.toLowerCase());"
Kerberos/LDAP,toLowerCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/query/internal/LDAPQuery.java,121,this.returningReadOnlyLdapAttributes.add(ldapAttributeName.toLowerCase());
Kerberos/LDAP,toLowerCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/store/ldap/LDAPIdentityStore.java,433,lowerCasedAttrNames.add(attrName.toLowerCase());
Kerberos/LDAP,toLowerCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/store/ldap/LDAPIdentityStore.java,542,String attrNameLowercased = attrName.toLowerCase();
Kerberos/LDAP,toUpperCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/store/ldap/LDAPOperationManager.java,570,String attrName = item.getAttribute().getID().toUpperCase();
Kerberos/LDAP,toUpperCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/store/ldap/LDAPOperationManager.java,618,String attrName = attribute.getID().toUpperCase();
Kerberos/LDAP,toUpperCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/idm/store/ldap/LDAPUtil.java,132,return result.toString().toUpperCase();
Kerberos/LDAP,toLowerCase(),federation/ldap/src/main/java/org/keycloak/storage/ldap/mappers/HardcodedAttributeMapper.java,55,Property<Object> userModelProperty = userModelProperties.get(userModelAttrName.toLowerCase());
